"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bolivia","BOL","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","35.9","35.4","34.9","34.6","34.3","34.1","33.9","33.9","33.9","34","34.2","34.5","34.9","35.3","35.7","36","36.2","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.5","36.8","",
"Bolivia","BOL","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.13795893428541","2.09073371607416","2.03424641532567","1.96903781369836","1.9017829947048","1.81852145757306","1.72275574310039","1.63532454136016","1.55144198386009","1.48449340347324","1.42353285896738","1.37340395875225","1.32270713737697","1.27041204386341","1.22286143879222","1.17043502942142","1.1172475949553","1.05692403310575","0.993009291120999","0.931774088291099","0.869412020467234","0.809364005048525","0.756561110415766","0.718070748197501","0.681026296672926","0.643990641431459","","",
"Bolivia","BOL","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","48","49","51","53","55","58","61","64","67","70","73","76","79","82","85","90","95","100","110","120","120","130","140","150","160","","",
"Bolivia","BOL","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1000","1000","1000","980","950","930","900","880","860","850","830","820","800","780","760","740","700","670","640","610","580","560","540","520","","",
"Bolivia","BOL","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","","","","","13.6","","","","","8.4","","","","","3.9","","",
"Bolivia","BOL","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.87","","","","","",
"Bolivia","BOL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.267","","","","","0.311","","","","","0.509","","","","","0.49","","","","","","0.523","","","0.697","","","","","","0.45","","","0.426","","0.34","","1.299","","","","1.216","","","","","","0.336","","","0.444","0.473","","","","","","",
"Bolivia","BOL","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.129","","","","","","0.616","","","0.843","1.006","","","","","","",
"Bolivia","BOL","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.118","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.84541928768158","","","","","","","","","","2.32170009613037","","","","","2.05879998207092","","","","","","","","","","","","","","","1.317800045","1.4110000134","","1.3999999762","","","1.6699999571","","","","","","","1","1","","1.1","1.1","1.1","1.1","","1.1","1.1","","","","","",
"Bolivia","BOL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","17","15","13","20","21","55","57","58","59","53","54","57","57","64","58","61","51","65","79","84","88","91","96","90","89","88","86","92","93","88","96","92","87","89","95","94","83",
"Bolivia","BOL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","43","45","52","58","64","61","58","61","77","75","71","77","88","84","85","83","84","88","93","91","95","93","87","85","89","87","84",
"Bolivia","BOL","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","80","84","85","83","84","88","93","91","95","93","87","85","89","87","83",
