"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Guatemala","GTM","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4459991455078","69.3339996337891","68.6080017089844","67.8310012817383","67.0920028686523","65.4710006713867","63.0429992675781","59.2439994812012","58.3930015563965","57.5460014343262","57.2669982910156","57.6920013427734","58.1800003051758","64.4680023193359","64.120002746582","63.7270011901855","64.4449996948242","64.8939971923828","64.5899963378906","64.1569976806641","64.7310028076172","72.0650024414063","76.2959976196289","71.5899963378906","72.4970016479492","72.2129974365234","72.1340026855469",
"Guatemala","GTM","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.72","","","","","","24.51","","25.48","28.4906783473207","","",
"Guatemala","GTM","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","15.7","","13.91","","","","","","14.63","","16.75","19.4183924361867","","",
"Guatemala","GTM","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9","40.7","","48.41","","","","","","48.84","","46.97","51.4797270172621","","",
"Guatemala","GTM","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98","","","","","","2.39","","0.82","2.26191503959942","","",
"Guatemala","GTM","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28","","","","","","1.5","","0.58","1.40807584091658","","",
"Guatemala","GTM","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52","","","","","","4.58","","1.43","4.42553191489362","","",
"Guatemala","GTM","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.67","","","","","","6.91","","9.64","11.4354390923259","","",
"Guatemala","GTM","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3.7","","7.26","","","","","","5.35","","8.05","6.89526247750374","","",
"Guatemala","GTM","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1","21.1","","14.96","","","","","","10.77","","13.56","22.9401846647933","","",
"Guatemala","GTM","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.5800018310547","74.9800033569336","","","","","","76.120002746582","74.9100036621094","77.2399978637695","75.0299987792969","71.7399978637695","72.7699966430664","73.5","",
