"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Moldova","MDA","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.438422","6.89107","8.757121","9.583008","10.60799","9.441371","10.75419","15.05706","14.45398","14.92926","16.53252","18.10576","15.63052","16.3087","16.04522","","","","",
"Moldova","MDA","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","251000","318000","347000","383000","340000","387000","540000","517000","533000","589000","645000","556000","581000","571000","","","","",
"Moldova","MDA","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.762122","1.708208","1.971002","2.205012","1.931104","1.842795","2.47721","2.008814","1.092019","1.244503","1.004119","1.379778","0.6465301","0.5550041","0.4306742","","","","",
"Moldova","MDA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15735","1.13505","0.98362","0.86873","0.73166","0.53024","0.86424","0.54677","0.27313","0.29159","0.24223","0.27922","0.14313","0.1232","0.08606","","","","",
"Moldova","MDA","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64000","62000","72000","80000","70000","66000","89000","72000","39000","44000","36000","49000","23000","20000","15000","","","","",
"Moldova","MDA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0358778","0.0351867","0.0304921","0.0269305","0.0226814","0.0164375","0.0267915","0.0169499","0.0084671","0.0090393","0.0075093","0.0086558","0.0044371","0.0038191","0.002668","","","","",
"Moldova","MDA","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.902233","1.920425","1.545353","1.312185","0.9215787","0.6393955","1.024312","0.5421667","0.1713407","0.1986714","0.215077","0.0484332","0.0445645","0.0911677","0","","","","",
"Moldova","MDA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68043","0.61433","0.52521","0.31601","0.20978","0.1064","0.27611","0.13591","0.04525","0.03224","0.03707","0.01367","0.00532","0.01448","0.00439","","","","",
"Moldova","MDA","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69000","70000","56000","48000","33000","23000","37000","19000","6000","7000","8000","2000","2000","3000","0","","","","",
"Moldova","MDA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0129281","0.0116723","0.0099789","0.0060042","0.0039859","0.0020215","0.005246","0.0025824","0.0008597","0.0006125","0.0007042","0.0002598","0.0001011","0.0002752","8.35E-05","","","","",
