"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Panama","PAN","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3880004882813","85.8899993896484","85.963996887207","86.3519973754883","85.5510025024414","85.2509994506836","86.447998046875","87.4909973144531","87.7289962768555","89.140998840332","87.6910018920898","87.5940017700195","87.6419982910156","88.1709976196289","86.6230010986328","86.7590026855469","86.9970016479492","86.8359985351563","81.9690017700195","82.7910003662109","83.7740020751953","83.1309967041016","82.1669998168945","81.5989990234375","81.2679977416992","81.0059967041016","81.6179962158203",
"Panama","PAN","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.89","","21.34","","27.86","","27.22","","","",
"Panama","PAN","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","19.04","","22.52","","25.71","","29.01","","","",
"Panama","PAN","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5","","","","","32.39","","18.26","","31.5","","24.09","","","",
"Panama","PAN","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.61","","15.13","","12.97","","10.9","","","",
"Panama","PAN","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.27","","16.41","","15.11","","13.84","","","",
"Panama","PAN","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.97","","11.79","","9.36","","5.61","","","",
"Panama","PAN","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92","","4.4","","3.64","","2.96","","","",
"Panama","PAN","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52","","","","","1.95","","2.95","","3.43","","1.77","","","",
"Panama","PAN","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22","","","","","5.32","","8.18","","4","","5.03","","","",
"Panama","PAN","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8800010681152","38.9700012207031","39.9300003051758","40.8800010681152","41.2200012207031","41.2099990844727","",
"Panama","PAN","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6100006103516","39.1599998474121","39.8199996948242","42.0299987792969","42.0400009155273","41.7599983215332","",
"Panama","PAN","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9000015258789","38.7099990844727","40.0699996948242","39.3699989318848","40.1699981689453","40.5099983215332","",
"Panama","PAN","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.460000038147","16.9820003509521","17.6119995117188","18.382999420166","18.0709991455078","18.3740005493164","18.3600006103516","18.0739994049072","18.1919994354248","17.363000869751","17.3129997253418","16.9950008392334","17.2189998626709","17.6429996490479","17.1809997558594","18.0690002441406","19.2800006866455","19.5699996948242","19.1730003356934","18.7040004730225","18.7409992218018","18.2430000305176","19.9440002441406","20.0769996643066","18.9869995117188","18.3920001983643","18.1609992980957",
"Panama","PAN","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3570003509521","19.6429996490479","20.6359996795654","21.7600002288818","21.4459991455078","21.4300003051758","21.8899993896484","21.7889995574951","22.173999786377","21.5909996032715","21.503999710083","21.0359992980957","21.8519992828369","22.4150009155273","21.7199993133545","23.2040004730225","24.746000289917","25.4330005645752","24.3740005493164","23.9039993286133","24.0550003051758","23.8740005493164","26.0279998779297","26.1280002593994","24.7310009002686","23.6889991760254","23.5629997253418",
