"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Rwanda","RWA","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","6.4","","","","","5.5","5.4","5.2","5.1","4.9","4.8","4.7","",
"Rwanda","RWA","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","","","","","15.7","","","","","13.9","13.7","13.3","13.1","12.8","12.5","12.3","",
"Rwanda","RWA","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2","29.3","28.4","27.5","26.8","26.1","25.5","24.9","24.4","24","23.6","23.2","22.9","22.7","22.4","22.1","21.9","21.6","21.4","21.3","21.4","21.6","21.9","22.4","22.9","23.6","24.4","",
"Rwanda","RWA","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12068173552479","7.85744323067189","7.83174602672101","7.71437449793754","2.60176410184348","7.17215249322501","6.98334518017075","6.43620382658137","5.66438042130593","5.17225494783769","4.81445350629029","4.39465927800534","4.03874032694214","3.58467773486688","3.09611927977868","2.66749534544211","2.53316179605276","2.34286940155563","2.11784123510234","1.89236002874186","1.72604254844893","1.60136164005457","1.45850022012892","1.3518164166823","1.26323274590957","1.17884968586362","","",
"Rwanda","RWA","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","13","13","13","38","14","14","16","18","19","21","23","25","28","32","37","39","43","47","53","58","62","69","74","79","85","","",
"Rwanda","RWA","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4200","4000","3900","3800","3700","3600","3700","3600","3400","3300","3200","3000","2900","2600","2300","2000","1900","1800","1600","1500","1400","1300","1200","1200","1100","1100","","",
"Rwanda","RWA","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","12","","","6","","10.8","","","12","","11.4","","",
"Rwanda","RWA","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","13","","","56","","69.6","","","74.1","","67.7","","",
"Rwanda","RWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425.8","","","","","174.5","","","","","105.9","","","","","301.3","","",
"Rwanda","RWA","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","0.75","",
