"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"St. Lucia","LCA","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.5130004882813","60.1459999084473","60.3540000915527","61.1440010070801","58.4410018920898","62.5690002441406","71.0550003051758","69.9000015258789","71.2249984741211","71.161003112793","78.7939987182617","77.8629989624023","80.6039962768555","79.3629989624023","80.6389999389648","80.7440032958984","81.5120010375977","81.1740036010742","81.3059997558594","81.9540023803711","81.6169967651367","81.3830032348633","82.0530014038086","82.463996887207","82.5579986572266","81.9710006713867","81.6859970092773",
"St. Lucia","LCA","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8090000152588","22.0559997558594","22.3850002288818","21.5330009460449","25.6049995422363","22.5739994049072","20.2689990997314","18.753999710083","19.2240009307861","20.5690002441406","19.8199996948242","19.8439998626709","17.8330001831055","17.82200050354","20.3139991760254","21.2770004272461","18.8589992523193","19.4459991455078","19.19700050354","18.3770008087158","18.5809993743896","18.3819999694824","17.5900001525879","16.8759994506836","17.0429992675781","17.2479991912842","17.3020000457764",
"St. Lucia","LCA","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8059997558594","21.5580005645752","21.9249992370605","21.3840007781982","26.423999786377","24.8090000152588","23.3880004882813","21.9459991455078","23.1790008544922","24.5639991760254","24.9099998474121","25.2709999084473","22.9060001373291","23.2880001068115","27.5020008087158","30.1380004882813","26.4790000915527","27.6520004272461","27.2779998779297","25.8640003204346","26.1529998779297","25.9039993286133","24.7999992370605","23.8099994659424","24.1580009460449","24.6119995117188","24.7320003509521",
"St. Lucia","LCA","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4740009307861","22.863000869751","23.121000289917","21.7670001983643","24.3479995727539","19.2059993743896","15.5649995803833","13.9899997711182","13.5010004043579","14.91100025177","13.1409997940063","12.4750003814697","10.3249998092651","10.2749996185303","10.8420000076294","9.90499973297119","9.16699981689453","9.12399959564209","8.93900012969971","8.67300033569336","8.89299964904785","8.79100036621094","8.34099960327148","8.02200031280518","7.97300004959106","8.19600009918213","8.20400047302246",
"St. Lucia","LCA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27228.935546875","28605.99609375","28274.30078125","28133.8203125","27851.50390625","28092.955078125","28679.0703125","30243.849609375","29035.015625","27760.51171875","25070.34375","26685.80078125","27727.2734375","28467.369140625","26706.95703125","26737.38671875","25641.6171875","25653.31640625","25803.396484375","26574.40625","25530.8671875","24778.701171875","25369.623046875","25212.099609375","25770.91015625","24707.775390625","24334.921875",
"St. Lucia","LCA","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70900011062622","2.75","2.69600009918213","1.78699994087219","1.75","2.0239999294281","1.84700000286102","1.08299994468689","1.0349999666214","0.939000010490417","0.953000009059906","0.952000021934509","0.934000015258789","0.948000013828278","0.949999988079071","1.05900001525879","0.874000012874603","0.888000011444092","0.837000012397766","0.820999979972839","0.855000019073486","0.825999975204468","0.815999984741211","0.763999998569489","0.785000026226044","0.799000024795532","0.875",
"St. Lucia","LCA","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.78100001811981","1.74899995326996","1.7389999628067","1.25699996948242","0.894999980926514","1.88399994373322","1.5789999961853","1.057000041008","0.634999990463257","0.565999984741211","0.577000021934509","0.578999996185303","0.569000005722046","0.556999981403351","0.566999971866608","0.624000012874603","0.495000004768372","0.492000013589859","0.46900001168251","0.46399998664856","0.483000010251999","0.46900001168251","0.460999995470047","0.425999999046326","0.435000002384186","0.439999997615814","0.495999991893768",
"St. Lucia","LCA","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24700021743774","4.375","4.22300004959106","2.61500000953674","3.06200003623962","2.23499989509583","2.25200009346008","1.12300002574921","1.6139999628067","1.46700000762939","1.44599997997284","1.46000003814697","1.47399997711182","1.48800003528595","1.45500004291534","1.61699998378754","1.35599994659424","1.38699996471405","1.30499994754791","1.28299999237061","1.33200001716614","1.28100001811981","1.27100002765656","1.19599997997284","1.23099994659424","1.24000000953674","1.33899998664856",
"St. Lucia","LCA","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
