"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"St. Vincent and the Grenadines","VCT","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7700004577637","18.9389991760254","19.4500007629395","20.30299949646","18.9290008544922","19.8799991607666","19.3209991455078","19.1480007171631","19.57200050354","19.6089992523193","21.1000003814697","19.7849998474121","19.2229995727539","19.0779991149902","18.8939990997314","17.9559993743896","18.0139999389648","18.7999992370605","18.8419990539551","18.8159999847412","18.5030002593994","18.1809997558594","17.8840007781982","18.2280006408691","17.988000869751","18.2110004425049","18.2849998474121",
"St. Vincent and the Grenadines","VCT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","23.5","","","","","","","","","","","19.7700004577637","","","","","","","","","","21.1000003814697","","","","","","","18.7999992370605","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.451000213623","17.6590003967285","18.1399993896484","18.9869995117188","17.6539993286133","18.5769996643066","18.048999786377","17.8840007781982","18.2940006256104","18.3439998626709","19.75","18.4850006103516","17.9290008544922","17.7919998168945","17.6240005493164","16.7059993743896","16.7630004882813","17.4969997406006","17.5629997253418","17.5699996948242","17.3080005645752","17.0259990692139","16.7670001983643","17.1350002288818","16.9360008239746","17.2229995727539","17.2870006561279",
"St. Vincent and the Grenadines","VCT","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","18.4500007629395","","","","","","","","","","22.6000003814697","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1040000915527","21.1660003662109","21.6989994049072","22.5599994659424","21.0729999542236","22.0559997558594","21.4200000762939","21.2099990844727","21.6410007476807","21.6450004577637","23.253999710083","21.8250007629395","21.2159996032715","21.0359992980957","20.8059997558594","19.8040008544922","19.8439998626709","20.6870002746582","20.6889991760254","20.6119995117188","20.2189998626709","19.8299999237061","19.4689998626709","19.7689990997314","19.4659996032715","19.5919990539551","19.6730003356934",
"St. Vincent and the Grenadines","VCT","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","24.5","","","","","","","","","","","22.1200008392334","","","","","","","","","","18.6000003814697","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
