"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Vanuatu","VUT","Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)","DT.NTR.DPNG.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Vanuatu","VUT","Net transfers on external debt, long-term (NTR, current US$)","DT.NTR.DLXF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-492000","1378000","56000","1661000","720000","409000","3095000","2178000","4552000","4829000","10691000","3028000","1709000","243000","1892000","-375000","-315000","11158000","4311000","12717000","1334000","-1063000","-1781000","-2418000","-1810000","-3125000","919000","6478000","6747000","-2000000","-945000","158000","7572000","-6271000","78516000","45105000","60119000",
"Vanuatu","VUT","Net transfers on external debt, total (NTR, current US$)","DT.NTR.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-491746.1","1377760.6","6292028.9","1874080","960125.5","783817.3","2275117.2","2592947.1","1839170.5","4204089.2","1937720.8","2548226.1","3744829","2003098.2","1591952.4","-675025.7","2900759.4","10634503.8","-4681708.3","28308219.3","14808445.8","28204390.4","-9512978","-13992886.1","-43360431.7","4430051.6","9285607.4","15426951.1","975434.6","18281509.8","-5165243.9","4406429.2","22677738.3","-3171633.3","79620315.5","25419358.2","86112312.3",
"Vanuatu","VUT","PPG, bilateral concessional (NTR, current US$)","DT.NTR.BLTC.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-349000","1492000","-434000","-144000","314000","138000","244000","621000","-74000","2646000","2503000","728000","1805000","-228000","1523000","-261000","-217000","-198000","-186000","-428000","-367000","-353000","-401000","-441000","-432000","-429000","3378000","9322000","10770000","2138000","2805000","3617000","10795000","-3239000","77578000","39488000","41016000",
"Vanuatu","VUT","PPG, bilateral (NTR, current US$)","DT.NTR.BLAT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-453000","1410000","-505000","-206000","254000","82000","392000","933000","63000","2563000","2434000","574000","1659000","-373000","1384000","-395000","-320000","-299000","-279000","-519000","-452000","-435000","-476000","-514000","-501000","-490000","3349000","9322000","10770000","2138000","2805000","3617000","10795000","-3239000","77578000","39488000","41016000",
"Vanuatu","VUT","Net official flows from UN agencies, WHO (current US$)","DT.NFL.WHOL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100000","870000","1010000","910000","1060000","870000","",
"Vanuatu","VUT","Net official flows from UN agencies, WFP (current US$)","DT.NFL.WFPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","430000","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","390000","","",
"Vanuatu","VUT","Net official flows from UN agencies, UNTA (current US$)","DT.NFL.UNTA.CD","","","","","","","","","","20000","20000","80000","110000","100000","150000","230000","240000","200000","130000","230000","10000","270000","300000","360000","480000","640000","520000","680000","460000","630000","500000","670000","580000","990000","370000","1290000","500000","670000","380000","650000","1050000","500000","850000","980000","1030000","1210000","840000","1130000","120000","","","","","","","","","",
"Vanuatu","VUT","Net official flows from UN agencies, UNRWA (current US$)","DT.NFL.UNRW.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Net official flows from UN agencies, UNPBF (current US$)","DT.NFL.UNPB.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Net official flows from UN agencies, UNFPA (current US$)","DT.NFL.UNFP.CD","","","","","","","","","","","","","","","","","","70000","","","120000","80000","200000","140000","40000","60000","170000","200000","270000","260000","220000","120000","1180000","100000","120000","270000","80000","90000","30000","50000","80000","70000","90000","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Net official flows from UN agencies, UNECE (current US$)","DT.NFL.UNEC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Net bilateral aid flows from DAC donors, Netherlands (current US$)","DC.DAC.NLDL.CD","","","","","","","","","","","","","","20000","20000","10000","","","10000","20000","","","","","60000","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","2820000","120000","",
"Vanuatu","VUT","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","DC.DAC.LUXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000","70000","","","150000","","",
"Vanuatu","VUT","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","DC.DAC.KORL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","30000","40000","40000","30000","20000","20000","","40000","","","10000","50000","","110000","","","","70000","110000","20000","10000","520000","30000","",
"Vanuatu","VUT","Net bilateral aid flows from DAC donors, Japan (current US$)","DC.DAC.JPNL.CD","","","","","","","","","","","","","","","","","","10000","50000","","10000","120000","870000","320000","50000","750000","1130000","5570000","3740000","2920000","8130000","5820000","1130000","1890000","11550000","12820000","2210000","2820000","3750000","7450000","6380000","3370000","2510000","2320000","3610000","3200000","3910000","8630000","13910000","13070000","15610000","7390000","10140000","13530000","9630000","18370000","27840000","",
