"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bulgaria","BGR","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3170013427734","54.2400016784668","57.5299987792969","59.359001159668","58.4010009765625","62.4650001525879","58.060001373291","60.5639991760254","60.0099983215332","62.1339988708496","64.0289993286133","63.0559997558594","63.6809997558594","63.1860008239746","64.3290023803711","65.8720016479492","65.8690032958984","65.5879974365234","67.8399963378906","70.7279968261719","71.2839965820313","70.6269989013672","71.7269973754883","72.2259979248047","72.9309997558594","73.3840026855469","74.6999969482422",
"Bulgaria","BGR","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0779991149902","38.4550018310547","36.1319999694824","34.1020011901855","34.201000213623","31.0380001068115","32.0629997253418","32.7050018310547","33.2669982910156","32.8330001831055","32.7669982910156","32.6629981994629","32.1300010681152","32.9169998168945","34.242000579834","34.4729995727539","35.5","36.4269981384277","35.2360000610352","32.9790000915527","31.4549999237061","31.32200050354","30.1870002746582","30.1149997711182","29.8950004577637","29.7900009155273","29.2740001678467",
"Bulgaria","BGR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8639984130859","43.0050010681152","40.7980003356934","38.9000015258789","38.8040008544922","35.8619995117188","36.5890007019043","37.3580017089844","37.9059982299805","37.6069984436035","36.3289985656738","36.1360015869141","35.7470016479492","36.7550010681152","38.8660011291504","40.0190010070801","41.4959983825684","43.007999420166","42.3720016479492","40.7360000610352","38.1780014038086","36.939998626709","35.8759994506836","36.25","36.2120018005371","36.2729988098145","36.0950012207031",
"Bulgaria","BGR","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9780006408691","33.625","31.1760005950928","28.9699993133545","29.2210006713867","25.7590007781982","27.0510005950928","27.4710006713867","27.9740009307861","27.2639999389648","28.8460006713867","28.806999206543","27.9829998016357","28.5259990692139","28.8390007019043","28.0189990997314","28.4860000610352","28.6310005187988","26.8199996948242","24.0709991455078","23.9069995880127","25.0879993438721","23.8339996337891","23.2140007019043","22.7409992218018","22.3680000305176","21.4570007324219",
"Bulgaria","BGR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23227.439453125","21736.1640625","21843.953125","22384.33203125","22355.052734375","22623.384765625","22854.849609375","23782.947265625","23501.85546875","25964.38671875","27422.775390625","28780.365234375","29301.623046875","30244.154296875","32288.61328125","32978.078125","33984.10546875","34788.4140625","34489.65625","36726.703125","38777.91015625","39139.4296875","39505.140625","39448.87890625","40161.41015625","41701.57421875","42966.19921875",
"Bulgaria","BGR","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81800007820129","2.78500008583069","1.69599997997284","2.15499997138977","1.71399998664856","0.861000001430511","1.71099996566772","1.78900003433228","1.49800002574921","1.73699998855591","1.56900000572205","1.71599996089935","2.03600001335144","2.16199994087219","1.54999995231628","1.28199994564056","1.1690000295639","1.01400005817413","1.02400004863739","1.05299997329712","1.02900004386902","0.842999994754791","0.675999999046326","0.702000021934509","0.653999984264374","0.619000017642975","0.574999988079071",
"Bulgaria","BGR","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41299998760223","1.3860000371933","0.968999981880188","1.24000000953674","1.10699999332428","0.65200001001358","1.21000003814697","1.20700001716614","1.03100001811981","1.15199995040894","1.19700002670288","1.18499994277954","1.44000005722046","1.43700003623962","0.936999976634979","0.804000020027161","0.753000020980835","0.587999999523163","0.584999978542328","0.694000005722046","0.790000021457672","0.559000015258789","0.444999992847443","0.409999996423721","0.425000011920929","0.433999985456467","0.404000014066696",
"Bulgaria","BGR","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.35500001907349","4.30900001525879","2.48799991607666","3.14499998092651","2.38000011444092","1.09099996089935","2.26999998092651","2.44400000572205","2.03800010681152","2.41899991035461","1.98000001907349","2.30699992179871","2.72000002861023","2.9909999370575","2.26699995994568","1.83800005912781","1.65499997138977","1.51800000667572","1.54200005531311","1.4650000333786","1.29799997806549","1.15900003910065","0.934000015258789","1.02999997138977","0.913999974727631","0.830999970436096","0.773000001907349",
"Bulgaria","BGR","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.3730010986328","86.1989974975586","87.6060028076172","85.7009963989258","84.6529998779297","85.0270004272461","82.1569976806641","82.7679977416992","84.004997253418","83.5110015869141","84.745002746582","84.786003112793","84.0339965820313","84.0810012817383","85.8820037841797","86.802001953125","87.5250015258789","87.5279998779297","87.4509963989258","87.4000015258789","87.8629989624023","88.3860015869141","87.8339996337891","87.4869995117188","87.9420013427734","88.2389984130859","88.2289962768555",
"Bulgaria","BGR","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5469970703125","85.9169998168945","85.927001953125","84.0550003051758","82.1630020141602","81.2480010986328","80.0179977416992","79.8769989013672","81.0849990844727","80.515998840332","81.5780029296875","82.0780029296875","80.9290008544922","81.1890029907227","83.3119964599609","84.1240005493164","84.9160003662109","85.3089981079102","85.1589965820313","85.2379989624023","85.4530029296875","85.8820037841797","85.0810012817383","84.6809997558594","85.1050033569336","85.7890014648438","85.8249969482422",
"Bulgaria","BGR","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1809997558594","86.5059967041016","89.4359970092773","87.4830017089844","87.3889999389648","89.1989974975586","84.5400009155273","86.0240020751953","87.3840026855469","87.0080032348633","88.2429962158203","87.7949981689453","87.5940017700195","87.3899993896484","88.8870010375977","89.9199981689453","90.5770034790039","90.1579971313477","90.1549987792969","89.8830032348633","90.5699996948242","91.1650009155273","90.9069976806641","90.6429977416992","91.1549987792969","91.0439987182617","91",
"Bulgaria","BGR","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.69700026512146","9.54800009727478","9.49700009822846","11.1860001087189","12.7859995365143","13.3280000090599","15.0639996528625","14.7599997520447","13.7069996595383","14.1060004234314","11.6039998531342","11.8209995031356","12.3460004329681","12.0759994983673","10.2440001964569","9.22499978542327","8.39399993419647","8.78300011157989","9.03100001811981","8.90799999237061","8.49899983406067","8.04000002145767","8.23599994182587","8.69599997997284","8.47400015592575","8.19500023126603","8.14000004529953",
"Bulgaria","BGR","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.75900018215179","9.04300010204315","10.2939997911453","11.8639996051788","14.2820001840592","16.283999979496","16.041000366211","16.6440002918243","15.6800001859665","16.1720004081726","13.155999660492","13.1720004081726","13.981999874115","13.5700004100799","11.4660002589226","10.399000287056","9.5259997844696","9.81300038099289","10.1040000319481","9.81700015068055","9.71000009775162","9.31900024414063","9.50900012254715","10.0780002176762","9.8830001950264","9.38599964976311","9.32099983096123",
"Bulgaria","BGR","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7230000495911","10.0980000495911","8.62799978256226","10.451000213623","11.1420001983643","10.0630000829697","13.9749999046326","12.6369998455048","11.423999786377","11.6910002231598","9.88899993896485","10.3220002651215","10.470999956131","10.3650000095368","8.81700015068054","7.85800004005432","7.06800007820129","7.56100022792816","7.76500010490417","7.86400020122528","7.14099991321564","6.62199985980988","6.81500005722046","7.14000010490417","6.87800019979477","6.83199989795685","6.77999997138977",
