"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Congo, Rep.","COG","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28","","","","6.28","6.28","5.85","5.85","5.85","5.85","4.84","4.84","4.84","4.84","4.84","","4.89","4.89","4.89","","",
"Congo, Rep.","COG","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","82.68045639","66.69841737","167.5190122","151.0706294","151.5904797","123.0119292","115.9125874","163.0860806","185.2863803","180.0192308","74.21002929","72.28932806","53.50160009","105.7048406","78.81231269","76.12792086","180.7435897","117.7736809","76.10685315","110.3489779","100","148.3419399","147.385478","170.0642679","183.6344766","236.4457501","348.5953943","399.6608165","426.3120501","397.106873","509.4528104","590.6054054","639.1929386","826.5814422","870.6089103","783.0711695","735.3096368","",
"Congo, Rep.","COG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","66.8851850127383","65.0612949349097","66.94845660021","61.2072809945071","61.4937850458391","57.2096650154953","52.0805649252328","55.5868700536172","53.8871123597325","46.824322032736","32.6749241059608","37.6564572851262","39.9041795442895","40.1721957336296","60.9597810403675","45.4335527084686","52.0787499873453","62.0912283171187","64.5808181988173","65.6406439434525","87.4078293904898","63.054538647916","81.4573246127074","61.4130448448099","82.1031773692439","77.977759803158","74.2996602164813","65.3681912536961","59.4340527689654","59.759129980866","57.2399199872621","59.5628350460036","55.706646371136","85.9315073845546","89.8627250803575","87.050880563132","113.984445492184","111.679453557269","104.89969385233","101.150875127342","91.7416756670107","97.9508067421764","97.8478849826595","100.347015080224","94.6942554129054","99.3688686223758","104.645551024887","97.2638854917542","95.9152817395743","93.8131523683442","111.59338293292","116.858443392001","115.224897755665","108.457079536725","111.078647408717","116.815439312244","118.407771846222","90.2994216333129",
"Congo, Rep.","COG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.12683264072832","5.64610015136815","4.86648184519407","4.87338138615349","5.10332087740022","4.94298808355385","5.34719991564455","5.2533150053418","6.91416846818952","8.86519130794049","4.11367119268017","2.98007402394672","2.39512414641005","3.62514051986654","7.97630629452875","4.27686514100274","4.10209112791756","4.42226663521873","5.00433069915156","4.76026434702167","","","",
"Congo, Rep.","COG","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69000000","86000000","68000000","69000000","71000000","59000000","82000000","85000000","118000000","176000000","112000000","132000000","157000000","217000000","549000000","312000000","327000000","308000000","360000000","435000000","","","",
"Congo, Rep.","COG","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52000000","78000000","65000000","54000000","63000000","50000000","65000000","70000000","78000000","103000000","112000000","132000000","91000000","84000000","378000000","211000000","223000000","173000000","204000000","257000000","","","",
"Congo, Rep.","COG","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","11000000","10000000","9000000","13000000","12000000","22000000","25000000","29000000","22000000","40000000","45000000","27000000","32000000","77000000","27000000","38000000","63000000","52000000","55000000","","","",
"Congo, Rep.","COG","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17000000","8000000","3000000","15000000","8000000","9000000","17000000","15000000","40000000","73000000","","","66000000","133000000","171000000","101000000","104000000","135000000","156000000","178000000","","","",
"Congo, Rep.","COG","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","669140","17593.5","","","500000","400000","600000","600000","1000000","1100000","","","4400000","5000000","8000000","12000000","9000000","5000000","1000000","2000000","","","",
"Congo, Rep.","COG","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06760733411961","0.630757989597125","0.567801036778546","0.605888666115043","0.791270285890056","0.471788412932414","1.02768229734597","1.04336317774458","1.05981092973043","0.636388146378051","0.805510087183599","0.710706020674383","0.535734189898731","0.447067473400615","1.36121045378953","0.433258121178553","0.408371850554148","0.661672245899624","0.557681729399331","0.599462181499644","","","",
"Congo, Rep.","COG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14669140","11017590","10000000","9000000","13500000","12400000","22600000","25600000","30000000","23100000","40000000","45000000","31400000","37000000","85000000","39000000","47000000","68000000","53000000","57000000","","","",
"Congo, Rep.","COG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161000","180000","","","","",
"Congo, Rep.","COG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37000","39000","27000","20000","14000","19000","27000","22000","23000","31000","35000","46000","55000","62000","94000","101000","168000","204000","231000","273000","363000","224000","",
"Congo, Rep.","COG","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5","","","","","","","18.4","","","17.9","","",
"Congo, Rep.","COG","Urban population (% of total)","SP.URB.TOTL.IN.ZS","31.601","32.318","33.045","33.78","34.524","35.273","36.031","36.796","37.569","38.345","39.129","39.919","40.715","41.514","42.357","43.264","44.177","45.091","46.01","46.932","47.857","48.781","49.707","50.633","51.56","52.221","52.642","53.064","53.485","53.905","54.324","54.743","55.162","55.58","55.996","56.413","56.832","57.299","57.766","58.231","58.695","59.156","59.617","60.076","60.533","60.988","61.441","61.893","62.346","62.8","63.256","63.712","64.169","64.627","65.085","65.543","66.001","66.459",
