"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cote d'Ivoire","CIV","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2980003356934","48.3680000305176","48.390998840332","47.0019989013672","47.1279983520508","46.6660003662109","45.8230018615723","45.6349983215332","44.6220016479492","45.5449981689453","46.7449989318848","47.7249984741211","49.0110015869141","46.7840003967285","46.1809997558594","45.9770011901855","45.4900016784668","45.6380004882813","44.3489990234375","44.9900016784668","46.6710014343262","43.4650001525879","43.556999206543","43.2169990539551","42.2669982910156","41.0629997253418","40.5639991760254",
"Cote d'Ivoire","CIV","Child employment in agriculture (% of economically active children ages 7-14)","SL.AGR.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.22","","",
"Cote d'Ivoire","CIV","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91","","","","","","","3.84","","",
"Cote d'Ivoire","CIV","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","","",
"Cote d'Ivoire","CIV","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46","","","","","","","1.53","","",
"Cote d'Ivoire","CIV","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.00114516129032","2.44015865027905",
"Cote d'Ivoire","CIV","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0289915966387","11.9543650793651","10.95","11.2261904761905","6.04761904761905","5.74404761904762","5.52",
"Cote d'Ivoire","CIV","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5","","","","","","29.4","","","","","","","35.9","","",
"Cote d'Ivoire","CIV","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","","","","","","9","","","","","","","11.2","","",
"Cote d'Ivoire","CIV","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","17.3","22","28.3","","","","38.3","","","38","","","42.6","","","","41.9","","","","","","43.8","","","","","","","43.6","","",
"Cote d'Ivoire","CIV","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","45.9","50.1","56.5","67.3","","","","77.6","","","78.4","","","82.1","","","","81","","","","","","80.8","","","","","","","82.2","","",
"Cote d'Ivoire","CIV","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","","","","","62.5","","","","","","","56.8","","",
"Cote d'Ivoire","CIV","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","","","","","","24.5","","","","","","","21.5","","",
"Cote d'Ivoire","CIV","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4","","","","","","48.9","","","","","","","46.3","","",
"Cote d'Ivoire","CIV","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","","","","","","18.2","","","","","","","16.3","","",
"Cote d'Ivoire","CIV","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","4.3","7.2","10.5","","","","18.9","","","17.9","","","21.3","","","","20.8","","","","","","24.3","","","","","","","23.3","","",
"Cote d'Ivoire","CIV","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","18.6","26.2","34.5","","","","49.6","","","49.6","","","55.9","","","","56.5","","","","","","57.1","","","","","","","57.4","","",
"Cote d'Ivoire","CIV","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","45.5","38","40.5","36.9","","","","39.4","","","40.6","","","39","","","","41.3","","","","","","43.2","","","","","","","41.5","","",
"Cote d'Ivoire","CIV","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","0.6","1.6","2.6","","","","6.7","","","4.7","","","7.6","","","","7.1","","","","","","10.4","","","","","","","9.1","","",
"Cote d'Ivoire","CIV","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","3.1","6.8","10.7","","","","22.4","","","19.6","","","25.8","","","","23.2","","","","","","29.1","","","","","","","28.2","","",
"Cote d'Ivoire","CIV","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","6.9","6.3","6.8","","","","6","","","6.6","","","6.4","","","","6.1","","","","","","5.1","","","","","","","5.7","","",
"Cote d'Ivoire","CIV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","2.8","2.5","2.7","","","","2.3","","","2.7","","","2.6","","","","2.3","","","","","","1.8","","","","","","","2.1","","",
"Cote d'Ivoire","CIV","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","35.6","29.5","32","28.3","","","","29.5","","","32.8","","","30.1","","","","32.7","","","","","","32.6","","","","","","","31.9","","",
"Cote d'Ivoire","CIV","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","51.3","45.4","47.6","43.9","","","","45.8","","","47.6","","","46.2","","","","48.5","","","","","","49","","","","","","","47.8","","",
"Cote d'Ivoire","CIV","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","21.6","21","22.5","","","","22.3","","","21.1","","","21.4","","","","20.6","","","","","","21.7","","","","","","","21.6","","",
"Cote d'Ivoire","CIV","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","15.2","14.8","15.5","","","","15.3","","","14.5","","","15.2","","","","14.3","","","","","","14.3","","","","","","","14.6","","",
"Cote d'Ivoire","CIV","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","10.9","10.4","11.3","","","","10.6","","","10.2","","","10.8","","","","10.6","","","","","","9.8","","","","","","","10.2","","",
"Cote d'Ivoire","CIV","Domestic private health expenditure per capita, PPP  (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.73357561","82.24186927","69.81226988","74.72485359","86.90157966","97.79313026","109.80713116","122.67835816","119.07716731","119.19850563","117.65193256","111.84128549","109.48548888","104.95787737","107.35807461","98.27277855","","",
