"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cyprus","CYP","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cyprus","CYP","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","109.6563011","115.2209493","107.2013093","129.4599018","141.5711948","147.7905074","163.8297872","179.5417349","152.8641571","163.6661211","147.4631751","128.9689034","110.4746318","120.7855974","132.5695581","160.8837971","",
"Cyprus","CYP","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","93.864083490583","119.772763233082","127.983044124623","114.284408785419","113.77548655431","80.4897610922815","82.7785869094119","81.8342575283289","79.7087871884158","85.0214370703358","70.8933329310941","55.747267210178","55.3873976781435","59.9234466670364","67.4704007330849","62.938974107219","61.9042951960377","62.2092940130708","51.5910446911312","53.6649459543783","50.057095088269","54.2444866920152","51.1241116208314","45.8395411089866","43.478444245701","47.1064556434819","46.3599789707745","42.4245634362327","36.9694594216635","37.0163282216116","41.6008587264293","40.488228781619","41.5687724093833","44.0977900523581","35.0478312796013","39.0073121662184","38.2669090600659","36.081712775466","34.5995904773297","47.7097192191538","52.4363422730245","53.5911293409663","56.4198017438091",
"Cyprus","CYP","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2444541632829","10.0342410483732","10.8715368151921","10.7859446294217","11.3777302076635","10.3658227371428","10.8183940977461","10.3702391176616","11.0015364625786","11.4539743960604","11.6264581054186","11.0852724276695","13.1560666692605","11.2009955631537","12.3647190839158","10.9572654155561","11.2816543157048","12.2693497731573","11.8287136927105","12.6314214364145","11.483578473523","12.3301700065318","",
"Cyprus","CYP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","474000000","500000000","513000000","538000000","554000000","533000000","559000000","568000000","698000000","901000000","988000000","1028000000","1542000000","1969000000","1740000000","1611000000","1730000000","1687000000","1621000000","1771000000","1439000000","1627000000","",
"Cyprus","CYP","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330000000","365000000","386000000","409000000","426000000","406000000","421000000","499000000","609000000","805000000","920000000","964000000","1467000000","1667000000","1403000000","1268000000","1310000000","1290000000","1236000000","1326000000","1065000000","1188000000","",
"Cyprus","CYP","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1799000000","1682000000","1660000000","1722000000","1889000000","1906000000","1974000000","1904000000","2091000000","2243000000","2299000000","2363000000","2679000000","2749000000","2179000000","2160000000","2554000000","2599000000","2893000000","2844000000","2487000000","2756000000","",
"Cyprus","CYP","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144000000","135000000","127000000","129000000","128000000","127000000","138000000","69000000","89000000","96000000","68000000","64000000","75000000","302000000","337000000","343000000","420000000","397000000","385000000","445000000","374000000","439000000","",
"Cyprus","CYP","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000000","224000000","191000000","200000000","202000000","192000000","206000000","213000000","227000000","309000000","319000000","310000000","418000000","453000000","277000000","264000000","153000000","133000000","127000000","76000000","2000000","","",
"Cyprus","CYP","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8309172984645","40.5340102385187","40.6731929704536","41.2500578661969","42.265877861956","41.801254048405","41.0139807295007","39.3327663060929","36.8122320586236","34.4469455735844","32.5351433344526","31.2534088795794","30.1090836336758","22.8627106080427","19.3351029228339","18.9010448489023","18.6130547906872","20.4555354512032","21.3660350204328","20.1252850753147","19.6123002859907","21.1140910593554","",
