"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Gabon","GAB","Smoking prevalence, females (% of adults)","SH.PRV.SMOK.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9","59.1","59.2","59.3","59.4","59.5","59.6","59.6","59.7","59.7","59.7","59.7","59.8","59.9","60","60.1","60.2","60.3","60.4","60.5","60.6","60.7","60.8","60.8","60.7","60.6","60.6","",
"Gabon","GAB","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41691299579677","2.37266985407128","2.30150319001388","2.2562357554785","2.21799645945128","2.16162507081254","2.10457583331206","2.02919864527142","1.999005324501","1.95273322405046","1.91677206263622","1.85935543878916","1.80719156741046","1.73222014773616","1.63367952148827","1.61625674848327","1.60057189910365","1.51059911009143","1.43373275853729","1.39007347766339","1.36751379403912","1.3370330427189","1.31340724283899","1.28741286846805","1.21265886368711","1.17395668672509","","",
"Gabon","GAB","Lifetime risk of maternal death (1 in: rate varies by country)","SH.MMR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","42","43","44","45","46","48","49","50","51","52","54","55","58","61","62","62","66","70","72","73","75","76","78","82","85","","",
"Gabon","GAB","Number of maternal deaths","SH.MMR.DTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","150","150","150","150","160","160","160","160","160","170","170","170","170","160","160","160","160","160","160","160","160","160","160","150","150","","",
"Gabon","GAB","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9","","","","","",
"Gabon","GAB","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.1","","","","38.8","","","","","",
"Gabon","GAB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.7","","","","","165.5","","","","","152.4","","","","","232.4","","",
"Gabon","GAB","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.117","","","","","","","","","","0.191","","","","","","","","","","","0.457","","0.433","","0.518","","","0.246","0.494","","0.193","","0.218","0.262","0.295","","","","","","","","","0.293","","","","","","","","","","","","0.406","",
"Gabon","GAB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03","","","","","","","","","","","","2.898","",
"Gabon","GAB","Community health workers (per 1,000 people)","SH.MED.CMHW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","5.71399164199829","","","","","","","","","","9.91069984436035","","","","","","","","","","","","","","","1.55200004577637","","","","","3.1937999725","","","","","","","","","","","","","","","","2","","1.3","","6.3","","","","","","","",
