"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Ghana","GHA","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.733201","","","","","","","5.966802","","","","","","","3.112775","","","","","","","","","","","","",
"Ghana","GHA","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","712000","","","","","","","1076000","","","","","","","671000","","","","","","","","","","","","",
"Ghana","GHA","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.169314","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16721","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0361836","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.943867","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91219","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0173316","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","214","212","209","206","203","199","196","191","187","183","178","173","168","165","160","156","",
"Ghana","GHA","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","29","28","28","27","28","28","29","32","33","33","34","33","34","33","33","32","",
"Ghana","GHA","Tuberculosis treatment success rate (% of new cases)","SH.TBS.CURE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","56","60","66","68","61","66","77","82","83","84","85","84","85","85","85","","",
"Ghana","GHA","Prevalence of severe wasting, weight for height (% of children under 5)","SH.SVR.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","3.8","","","","","","2.5","","","","2.8","","","1.8","","2.5","","","1.4","","","0.7","","","",
"Ghana","GHA","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.90000009536743","","","","","5.59999990463257","","","","","","3.29999995231628","","","","3","","","2.09999990463257","","2.5","","","1.89999997615814","","","0.800000011920929","","","",
"Ghana","GHA","Prevalence of severe wasting, weight for height, female (% of children under 5)","SH.SVR.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39999997615814","","","","","5.09999990463257","","","","","","1.70000004768372","","","","2.59999990463257","","","1.60000002384186","","2.40000009536743","","","0.899999976158142","","","0.600000023841858","","","",
"Ghana","GHA","Prevalence of wasting, weight for height (% of children under 5)","SH.STA.WAST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","10.9","","","","","","9.9","","","","8.4","","","6.1","","8.7","","","6.2","","","4.7","","","",
"Ghana","GHA","Prevalence of wasting, weight for height, male (% of children under 5)","SH.STA.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8000001907349","","","","","15.5","","","","","","11.1999998092651","","","","8.39999961853027","","","6.80000019073486","","9.69999980926514","","","7.19999980926514","","","4.19999980926514","","","",
"Ghana","GHA","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.10000038146973","","","","","13.6000003814697","","","","","","8.60000038146973","","","","8.30000019073486","","","5.40000009536743","","7.69999980926514","","","5.19999980926514","","","5.09999990463257","","","",
"Ghana","GHA","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","SH.STA.WASH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8","",
"Ghana","GHA","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8","","","","","28.1","","","","","27.6","","","","","26.1","","",
"Ghana","GHA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","4.3","","","","","4.7","","","","","5.3","5.4","",
"Ghana","GHA","Prevalence of stunting, height for age (% of children under 5)","SH.STA.STNT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6","","","","","41.2","","","","","","31.3","","","","35.6","","","28.1","","28.6","","","22.7","","","18.8","","","",
"Ghana","GHA","Prevalence of stunting, height for age, male (% of children under 5)","SH.STA.STNT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","","","","","37.2000007629395","","","","","","34.4000015258789","","","","38.5","","","29.7999992370605","","30.5","","","25.2999992370605","","","20.3999996185303","","","",
