"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Korea, Dem. People’s Rep.","PRK","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0600004196167","8.3459997177124","7.78900003433228","7.01300001144409","7.43699979782104","4.93800020217896","4.87400007247925","4.68100023269653","4.44399976730347","4.54099988937378","4.4210000038147","4.5","4.5019998550415","4.51200008392334","4.46600008010864","4.60500001907349","4.60099983215332","4.46999979019165","4.58199977874756","4.56199979782104","4.51599979400635","4.49300003051758","4.49200010299683","4.48099994659424","4.52299976348877","4.72100019454956","4.77600002288818",
"Korea, Dem. People’s Rep.","PRK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62800025939941","9.96700000762939","9.29899978637695","8.37399959564209","8.88199996948242","5.77799987792969","5.69799995422363","5.5019998550415","5.2649998664856","5.34700012207031","5.22800016403198","5.30299997329712","5.30700016021729","5.31899976730347","5.27600002288818","5.4060001373291","5.40100002288818","5.27500009536743","5.37599992752075","5.35500001907349","5.30999994277954","5.28800010681152","5.28399991989136","5.27199983596802","5.30900001525879","5.5149998664856","5.53000020980835",
"Korea, Dem. People’s Rep.","PRK","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.44000005722046","6.65899991989136","6.20599985122681","5.57999992370605","5.90500020980835","4.04500007629395","3.99600005149841","3.80599999427795","3.56699991226196","3.67899990081787","3.5550000667572","3.63899993896484","3.63700008392334","3.64400005340576","3.59299993515015","3.7409999370575","3.73900008201599","3.6010000705719","3.72300004959106","3.70199990272522","3.65400004386902","3.63000011444092","3.62899994850159","3.61800003051758","3.66499996185303","3.85500001907349","3.95199990272522",
"Korea, Dem. People’s Rep.","PRK","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
