"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Lao PDR","LAO","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","DC.DAC.CECL.CD","","","","","","","","","","","","","","","","","","","3250000","","920000","810000","200000","360000","280000","","640000","1490000","450000","1260000","2200000","2400000","3070000","3560000","6520000","10950000","12800000","14720000","13830000","10860000","7760000","8270000","8600000","8070000","9140000","11300000","8810000","8920000","18720000","25900000","15950000","22890000","13150000","10590000","16570000","10780000","27330000","",
"Lao PDR","LAO","Net bilateral aid flows from DAC donors, Canada (current US$)","DC.DAC.CANL.CD","20000","20000","","90000","120000","120000","200000","270000","260000","1300000","420000","170000","200000","160000","180000","190000","130000","2380000","","","","","10000","","","","","20000","30000","20000","110000","320000","1030000","620000","580000","830000","1040000","1170000","330000","650000","350000","580000","1450000","1730000","2470000","3650000","2880000","4680000","1710000","1760000","580000","2690000","1450000","720000","1100000","1870000","980000","",
"Lao PDR","LAO","Net bilateral aid flows from DAC donors, Belgium (current US$)","DC.DAC.BELL.CD","","","","","","","","20000","10000","30000","30000","30000","40000","60000","80000","70000","90000","90000","30000","180000","50000","10000","30000","10000","20000","","","10000","110000","","230000","20000","70000","270000","540000","1030000","2700000","2820000","3100000","1580000","1820000","2020000","3170000","4100000","5470000","7050000","6720000","4520000","2780000","3190000","1140000","2740000","2380000","940000","1810000","1200000","1440000","",
"Lao PDR","LAO","Net bilateral aid flows from DAC donors, Austria (current US$)","DC.DAC.AUTL.CD","","","","","","","","","","","","","","","","","","","10000","20000","10000","","10000","","","","","","","20000","","","","150000","150000","400000","","30000","","10000","30000","40000","10000","20000","20000","","","","10000","40000","880000","1600000","1300000","370000","1410000","1070000","1030000","",
"Lao PDR","LAO","Net bilateral aid flows from DAC donors, Australia (current US$)","DC.DAC.AUSL.CD","","","","","","750000","1290000","1010000","1500000","1190000","1220000","1410000","1360000","1660000","2430000","4980000","1860000","1160000","1490000","2260000","140000","940000","1810000","1820000","2760000","2630000","3480000","4210000","4300000","6800000","5980000","7530000","10570000","10400000","10670000","13070000","12410000","14250000","10420000","8580000","11820000","11410000","8600000","9940000","12990000","10600000","12770000","20330000","28100000","29610000","32680000","53930000","53850000","49220000","52810000","36380000","29190000","",
"Lao PDR","LAO","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Listed domestic companies, total","CM.MKT.LDOM.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.159349595428118","0.147887327137473","0.208234607382886","0.321906243068195","1.11860318061199","1.16238878821501","1.25930050271833","1.01158654707571","0.957610718888203","0.9113170883311","0.6478335640194","0.0226816992068909","0.0266855735685143","0.0286202980192622","0.046868488256316","0.0412532562551101","0.0381238882807919","0.0392721652931511","0.0414806867514393","0.0378470666758118","0.0339781111901433","0.0303411508600986","0.12271581737339","0.146904740903636","0.326504051524255","0.64421190050474","0.586075196079944","1.26065577174601","0.574181818138073","0.499287300378179","0.302323312994067","0.646253764899752","0.736342231731047","0.737737718897359",
