"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Namibia","NAM","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0139999389648","43.2799987792969","44.1189994812012","44.1150016784668","47.2280006408691","50.0289993286133","52.8209991455078","56.3019981384277","61.0410003662109","64.2119979858398","63.5289993286133","64.0339965820313","63.492000579834","65.3190002441406","69.9899978637695","74.4609985351563","79.1849975585938","82.1729965209961","75.8850021362305","64.1660003662109","62.0169982910156","68.1119995117188","64.0390014648438","64.5090026855469","70.3280029296875","74.7509994506836","74.3990020751953",
"Namibia","NAM","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.03","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.07","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.98","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5099983215332","46.2599983215332","43.9799995422363","","61.0699996948242","",
"Namibia","NAM","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4599990844727","43.2000007629395","40.7900009155273","","60.2900009155273","",
"Namibia","NAM","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7999992370605","49.2799987792969","47.4900016784668","","61.8600006103516","",
"Namibia","NAM","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0459995269775","15.326000213623","15.1700000762939","15.0129995346069","15.0530004501343","14.3590002059937","14.2650003433228","13.8809995651245","12.6470003128052","12.2980003356934","13.0900001525879","13.4040002822876","14.2700004577637","14.8269996643066","15.3339996337891","16.9190006256104","17.1959991455078","17.6940002441406","15.2740001678467","12.6680002212524","16.7250003814697","13.8839998245239","14.4429998397827","14.8319997787476","17.1380004882813","19.3339996337891","19.556999206543",
"Namibia","NAM","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6219997406006","20.9190006256104","20.4659996032715","20.2740001678467","20.2110004425049","19.548999786377","19.2549991607666","18.701000213623","17.2159996032715","16.5949993133545","17.4680004119873","17.5869998931885","18.3880004882813","19.2709999084473","20.2959995269775","22.6340007781982","23.6119995117188","24.9740009307861","21.9039993286133","19.1180000305176","25.3619995117188","21.7700004577637","23.0990009307861","23.8409996032715","27.6219997406006","30.8050003051758","31.0699996948242",
"Namibia","NAM","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88399982452393","8.19499969482422","8.43900012969971","8.34500026702881","8.4980001449585","7.74399995803833","7.85900020599365","7.66400003433228","6.73199987411499","6.70900011062622","7.48299980163574","8.12199974060059","9.16100025177002","9.37800025939941","9.36200046539307","10.1479997634888","9.70899963378906","9.32800006866455","7.76599979400635","5.46400022506714","7.21099996566772","5.2519998550415","5.16099977493286","5.19299983978271","5.99200010299683","7.19299983978271","7.35099983215332",
"Namibia","NAM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23063.76171875","23826.46484375","22611.68359375","22234.21875","22557.173828125","22749.908203125","23136.337890625","22895.087890625","22733.0859375","22825.2109375","22592.146484375","23344.564453125","23937.87109375","26590.236328125","26703.6015625","28015.4609375","29274.375","29411.37109375","28804.490234375","29924.69140625","29926.765625","28919.7734375","30315.146484375","30945.4453125","32140.8046875","33114.33984375","32030.38671875",
"Namibia","NAM","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8330001831055","24.8500003814697","23.556999206543","22.4220008850098","11.6579999923706","11.3339996337891","11.7150001525879","3.51799988746643","3.27800011634827","3.33200001716614","17.8759994506836","4.75400018692017","4.13100004196167","4.38899993896484","2.46600008010864","3.0090000629425","3.125","3.50200009346008","2.76200008392334","2.52800011634827","5.81699991226196","6.17600011825562","4.57299995422363","6.15799999237061","3.99000000953674","3.8989999294281","3.86100006103516",
"Namibia","NAM","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9650001525879","16.4160003662109","14.9879999160767","14.7760000228882","6.58599996566772","6.34800004959106","6.51000022888184","2.67199993133545","2.5090000629425","2.65400004386902","13.5649995803833","3.63199996948242","3.12299990653992","3.25600004196167","2.13599991798401","2.55699992179871","2.58599996566772","2.83200001716614","2.25500011444092","2.10400009155273","4.80200004577637","5.07600021362305","3.79200005531311","5.08300018310547","2.90100002288818","2.77600002288818","2.7409999370575",
"Namibia","NAM","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9360008239746","35.6020011901855","34.4480018615723","32.1119995117188","18.1049995422363","17.6900005340576","18.3969993591309","4.60900020599365","4.27299976348877","4.21400022506714","23.3959999084473","6.17000007629395","5.38000011444092","5.77799987792969","2.86199998855591","3.54399991035461","3.75399994850159","4.27199983596802","3.33599996566772","3.00200009346008","6.93499994277954","7.37900018692017","5.41099977493286","7.30700016021729","5.14900016784668","5.08799982070923","5.04899978637695",
"Namibia","NAM","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.96","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.6","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.8300018310547","56.3370018005371","56.6590003967285","56.6389999389648","64.6360015869141","64.8899993896484","65.1389999389648","64.4169998168945","64.5950012207031","63.9290008544922","65.1790008544922","71.734001159668","71.8399963378906","72.5169982910156","62.5299987792969","63.3009986877441","63.9879989624023","64.5250015258789","64.0110015869141","64.1529998779297","63.0110015869141","63.0499992370605","64.0500030517578","65.9820022583008","70.3929977416992","70.1579971313477","70.1740036010742",
"Namibia","NAM","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.2379989624023","65.3190002441406","66.2850036621094","66.4039993286133","73.9670028686523","74.2170028686523","74.2750015258789","69.140998840332","69.5090026855469","69.1969985961914","70.5139999389648","75.3990020751953","75.8470001220703","76.2669982910156","69.0500030517578","69.5810012817383","70.0090026855469","70.306999206543","70.4039993286133","70.6100006103516","69.5609970092773","69.5169982910156","72.4889984130859","73.0090026855469","75.5230026245117","75.3550033569336","75.370002746582",
