"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Palau","PLW","Coverage of social safety net programs in 2nd quintile (% of population)","per_sa_allsa.cov_q2_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68989159301759","","","","","","","","","","","",
"Palau","PLW","Coverage of social safety net programs in poorest quintile (% of population)","per_sa_allsa.cov_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.66768769833013","","","","","","","","","","","",
"Palau","PLW","Coverage of social safety net programs (% of population)","per_sa_allsa.cov_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9004944448649","","","","","","","","","","","",
"Palau","PLW","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)","per_sa_allsa.ben_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1591168989161","","","","","","","","","","","",
"Palau","PLW","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4699063487055","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP in richest quintile (% of population)","per_lm_alllm.cov_q5_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP in 4th quintile (% of population)","per_lm_alllm.cov_q4_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)","per_lm_alllm.cov_q3_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)","per_lm_alllm.cov_q2_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP in poorest quintile (% of population)","per_lm_alllm.cov_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of unemployment benefits and ALMP (% of population)","per_lm_alllm.cov_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)","per_lm_alllm.ben_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)","per_lm_alllm.adq_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Coverage of social protection and labor programs (% of population)","per_allsp.cov_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4302542026407","","","","","","","","","","","",
"Palau","PLW","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","per_allsp.ben_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.41127345300501","","","","","","","","","","","",
"Palau","PLW","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","per_allsp.adq_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9867800872062","","","","","","","","","","","",
"Palau","PLW","2005 PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67938664061423","","","","","","","","","","","","",
"Palau","PLW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.807516219204254","0.78456507581318","0.7742298702779","0.791473605860659","0.795750584567972","0.805030985365676","0.808052828610614","0.871291248376669","0.886975203327772","0.88524861076235","0.898274222837271","0.911869812602493","0.928855139244466","0.952341283489372","0.96024028379331","0.938393039109749","",
"Palau","PLW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.768711132750717","0.764322096999094","0.761796534776739","0.722557603106795","0.71465874001824","0.734186950331185","0.74514681802862","0.741827025244766","0.792418813420948","0.771104988476989","0.769564244780054","0.749237503264511","0.785970150375964","0.824443518003567","0.859672847000618","0.921604240627721","0.939301565049931","0.923036082275079",
"Palau","PLW","2005 PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.565869115717324","","","","","","","","","","","","",
"Palau","PLW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.768711132750717","0.764322096999094","0.761796534776739","0.722557603106795","0.71465874001824","0.734186950331185","0.74514681802862","0.741827025244766","0.792418813420948","0.771104988476989","0.769564244780054","0.749237503264511","0.785970150375964","0.824443518003567","0.859672847000618","0.921604240627721","0.939301565049931","0.923036082275079",
"Palau","PLW","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Palau","PLW","DEC alternative conversion factor (LCU per US$)","PA.NUS.ATLS","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Palau","PLW","Terms of trade adjustment (constant LCU)","NY.TTF.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2304231.58877558","-2469401.81752609","162170.286752284","-4590255.15070403","-9422098.63966419","-7610125.29950017","1765185.40206681","3235905.38610925","6013424.41343109","10413056.0211989","",
"Palau","PLW","Net secondary income (Net current transfers from abroad) (constant LCU)","NY.TRF.NCTR.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Net secondary income (Net current transfers from abroad) (current LCU)","NY.TRF.NCTR.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32607000","22455400","29854900","30714100","30246800","29470700","28548300","30680800","32942100","31710700","36105900","35022100","34516500","33777900","35607700","28115100","27371000","26778100",
"Palau","PLW","Net secondary income (Net current transfers from abroad) (current US$)","NY.TRF.NCTR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32607000","22455400","29854900","30714100","30246800","29470700","28548300","30680800","32942100","31710700","36105900","35022100","34516500","33777900","35607700","28115100","27371000","26778100",
"Palau","PLW","Taxes less subsidies on products (constant LCU)","NY.TAX.NIND.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25762900","25815000","24185600","25462100","31673600","35338300","28277500","28902400","31502400","27018900","28419600","30079000","35206900","34780000","30577700","34131600","33760300","32770300",
"Palau","PLW","Taxes less subsidies on products (current LCU)","NY.TAX.NIND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12758800","13530900","13129600","13228300","16055500","18687100","17757000","18022600","19238600","15982900","17381200","19943300","24338600","25011700","28620900","34131600","33489500","32318600",
"Palau","PLW","Taxes less subsidies on products (current US$)","NY.TAX.NIND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12758800","13530900","13129600","13228300","16055500","18687100","17757000","18022600","19238600","15982900","17381200","19943300","24338600","25011700","28620900","34131600","33489500","32318600",
"Palau","PLW","Net primary income (Net income from abroad) (constant LCU)","NY.GSR.NFCY.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Palau","PLW","Net primary income (Net income from abroad) (current LCU)","NY.GSR.NFCY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11057500","-12237800","-14045200","-9614600","-7850400","-4343300","-7367200","-7384100","-11326900","595900","-1256600","-753500","-2932600","-8900200","-6536400","-18279900","-12865800","-11698200",
"Palau","PLW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11057500","-12237800","-14045200","-9614600","-7850400","-4343300","-7367200","-7384100","-11326900","595900","-1256600","-753500","-2932600","-8900200","-6536400","-18279900","-12865800","-11698200",
"Palau","PLW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.55552576522675","1.3215299003612","3.33204033102562","5.31743286823002","6.64062863411187","7.29626729074019","4.61923434081142","7.13746869418587","9.55965848875008","","",
"Palau","PLW","Gross savings (% of GNI)","NY.GNS.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83195652334066","1.40013041105332","3.32715377613842","5.35621806476251","6.65040762788637","7.41435242082746","4.8120501828756","7.3405686727927","10.2017891098252","","",
