"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Paraguay","PRY","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.3820037841797","72.890998840332","72.9219970703125","72.4209976196289","73.484001159668","74.3119964599609","74.8509979248047","74.5410003662109","71.6559982299805","69.4520034790039","69.4260025024414","69.963996887207","69.3889999389648","64.5699996948242","68.9120025634766","69.3929977416992","67.9359970092773","71.3249969482422","69.0780029296875","73.1940002441406","71.6559982299805","69.3190002441406","75.9540023803711","74.9150009155273","76.3830032348633","76.9499969482422","77.161003112793",
"Paraguay","PRY","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.06","","","","","","","","","35.34","","","",
"Paraguay","PRY","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","28.65","","","",
"Paraguay","PRY","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.3","","","","","","","","","58.57","","","",
"Paraguay","PRY","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.33","","","","","","","","","12.06","","","",
"Paraguay","PRY","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","","","","","","","","","11.56","","","",
"Paraguay","PRY","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.21","","","","","","","","","13.87","","","",
"Paraguay","PRY","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18","","","","","","","","","8.57","","","",
"Paraguay","PRY","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","","","","","","","","","10.12","","","",
"Paraguay","PRY","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85","","","","","","","","","3.18","","","",
"Paraguay","PRY","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1600036621094","70.0199966430664","69.7799987792969","65.6500015258789","66","63.9000015258789","63.5","64.5599975585938","65.8099975585938","65.4199981689453",
"Paraguay","PRY","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3899993896484","67.0500030517578","66.5100021362305","63.0299987792969","63.810001373291","60.9700012207031","61.5699996948242","62.8199996948242","63.8899993896484","63.4300003051758",
"Paraguay","PRY","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5800018310547","73.9199981689453","74.2399978637695","69.0500030517578","68.8199996948242","67.4000015258789","66.0100021362305","66.7399978637695","68.3199996948242","68.0699996948242",
"Paraguay","PRY","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4790000915527","18.503999710083","18.2569999694824","18.6609992980957","18.5249996185303","18.576000213623","18.5849990844727","18.2189998626709","18.1310005187988","16.9340000152588","16.9340000152588","15.2840003967285","15.3940000534058","16.5009994506836","15.7340002059937","17.2360000610352","18.1009998321533","18.9209995269775","17.6840000152588","19.1949996948242","17.8199996948242","16.878999710083","17.4710006713867","19.132999420166","19.738000869751","19.4249992370605","19.4799995422363",
"Paraguay","PRY","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4169998168945","22.4629993438721","22.3859996795654","22.878999710083","22.7919998168945","22.8770008087158","23.0219993591309","22.6270008087158","21.9969997406006","20.8680000305176","20.878999710083","18.4829998016357","18.5839996337891","19.6979999542236","19.9109992980957","22.3199996948242","23.7980003356934","24.5990009307861","22.3290004730225","25.6070003509521","23.4869995117188","22.6709995269775","23.8490009307861","25.632999420166","26.3150005340576","26.4489994049072","26.5450000762939",
