"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Trinidad and Tobago","TTO","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.46384181503868","11.867523852937","13.3819884695779","17.8341687096784","20.1466833522531","29.7625014071649","28.4696088843597","29.8641980966347","41.5851941504","38.3620683132342","35.614788043069","26.3712289891728","28.3246421405081","30.2614949178489","29.900486750393","30.8802639821424","","",
"Trinidad and Tobago","TTO","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5553031746875","53.9716609895323","52.1884296547975","55.6621170723885","75.2215581915509","71.3715876892417","63.9169140525002","48.7665988174857","50.5058880819673","55.2411546602219","53.8275097450221","58.263856292422","","",
"Trinidad and Tobago","TTO","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99746622141043","5.96328451594949","5.17183419099584","4.54063871651279","8.584880368939","5.99425151279923","7.88416860893218","4.44771268962082","6.63430110586428","5.8644147314098","6.56271328818187","4.20896800458632","","",
"Trinidad and Tobago","TTO","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","200",
"Trinidad and Tobago","TTO","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","38.2518585266952","35.1491569390402","38.2957053131896","45.5322057064753","43.0457746478874","39.9152358183004","40.1313664261871","45.3038144527507","37.766920014477","39.654594232059","39.5545953132791","32.2604951560819","47.8026651545224","35.3453453453454","31.6034831559504","29.424665545727","26.0843801848778","25.0317796610169","23.580025050373","27.2606382978723","23.4050124548828","24.107375553818","35.9676118198931","34.9544913824106","34.6331791143424","39.1752577262348","35.4508558360243","40.4141616566466","37.0442030063998","40.7712511938873","51.3081889228678","47.6855895196507","50.8957028244862","43.2211695524339","48.3386075949367","51.7495395948435","40.7430059745193","29.6491559111252","33.6958675786855","30.7334283478082","44.9584598167178","45.710384895347","43.022731506565",
"Trinidad and Tobago","TTO","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","28.6776300968687","27.5523438947563","31.7093872008148","26.6359132069024","30.6044600938967","29.6674635948708","31.8725099601594","33.8604562008817","56.550850524792","53.672032193159","53.3987036729267","66.297093649085","48.4547774312448","44.5745745745746","48.2100448588267","50.6762190218581","43.2507703247214","46.6737288135593","57.5777378424004","55.6010638297872","58.5989527731176","43.9145165493874","36.843048791419","35.1647439621546","33.773959021811","38.2179676084381","36.5802011574558","33.8176352705411","36.6870069950886","35.183858643744","24.3742213161173","25.2401746724891","25.211561710078","23.739518675814","28.3755274261603","25.6906077348066","22.8266549463577","37.6984793567466","41.5604827378537","37.6711284757782","32.6034728009205","33.2746339711531","31.9994333233458",
"Trinidad and Tobago","TTO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.146453678303275","0.248541474065513","3.92966215619795","1.20558908461229","3.19670275180621","0.310223282623902","0.241435739714842","1.36182439629521","1.96988862307409","0.913290637699727","3.22507825880188","1.99335707564028","0.244690420635664","1.1487178902852","1.34706173987132","1.0301941892748","1.56335395306943","0.748551909305092","0.24331607871591","0.100109510858863","0.119174388080252","0.736345147973683","0.160730170911172","0.126552616045659","0.125551938020104","","",
"Trinidad and Tobago","TTO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799600","1316621","21936022","10025628","34177624","2945906","2461351","13508367","20564774","11250989","75391531","25460846","4224084","26925505","33926641","30164833","59578913","34999299","3252578","3102673","6281883","32348288","9204590","6194339","5169055","","",
"Trinidad and Tobago","TTO","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","204581294.117935","221571149.660822","245458333.435608","243875000.101615","284000000.118334","383416666.826423","386958333.494565","434750000.181146","230250000.095938","248500000","245591836.734694","258055555.555555","195944444.444444","259902439.02439","267505882.352941","321858823.529413","397082352.941177","444235294.117647","343163301.728182","317303371.418646","330727559.439036","447272365.456998","535360237.930774","573916087.774374","605200000","543200028.821036","566700030.241207","598800000","671900000","837600000","882900000","801500000","909900000","918300000","758400000","868800000","1157534379.24418","1393450399.45981","1277417787.42169","1453055133.35705","1181159014.07632","1013998694.97026","1103403150.20829",
"Trinidad and Tobago","TTO","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","33.0705113764361","37.2984991662035","29.9949074859956","27.8318810866223","26.3497652582159","30.4173005868288","27.9961236136536","20.8357293463676","5.68222946073104","6.67337357478195","7.04670101379426","1.44241119483311","3.74255741423283","20.08008008008","20.1864719852229","19.8991154324149","30.6648494904007","28.2944915254238","18.8422371072266","17.1382978723405","8.79975598596934","25.198257567296","20.3352355911439","24.5995518300274","26.9828155981494","14.1752577298875","14.0991706386179","9.10153640614564","10.1652031552314","10.5300859598854","9.00441726129799","10.442919525889","8.51741949664799","8.51573559838833","9.04535864978902","6.51473296500922","26.6125377457695","16.0738907927478","17.0071099356004","21.0728547840911","12.320807158527","8.56690310663957","8.18865716806982",
"Trinidad and Tobago","TTO","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","95.39720758","87.99918572","71.87736182","55.04889195","50.85557981","50.04948862","32.42428709","34.21827873","33.03663562","36.92552841","45.86553603","46.44770001","39.57591882","38.89103379","43.67446551","57.42466074","58.48596163","59.50163781","52.82686008","65.60575573","100","100.1403837","90.78146935","121.1420215","152.4848386","232.6079785","331.1815629","313.4357745","436.3693262","213.5229527","256.9414834","349.646701","303.775854","438.577445","340.8072064","252.784277","183.5502296","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","287100000","344500000","345800000","373300000","405000000","401800000","431300000","434600000","456200000","463310000","475120000","514540000","552120000","689030000","2016060000","1768200000","2192990000","2158960000","2005980000","2580190000","3864920000","3720940000","3024390000","2291360000","2078230000","2133580000","1341240000","1424830000","1336230000","1491396895","1889878617","1894909224","1794578294","1572978760","2366271833","2961160318","2418449917","2543858962","2263828292","2804818080","3040943080","4284958952","3852371514","5145653144","6485753508","9513499644","14030734200","13412301043","18661985784","9216179545","11152914837","14947387260","12111070221","16448687983","14487453925","10739332558","8012164052","",
"Trinidad and Tobago","TTO","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","21.8390804597701","23.1640058055152","19.5777906304222","18.5909456201447","18.1234567901235","17.9940268790443","21.1221887317412","17.0501610676484","15.4318281455502","12.1516910923572","13.2177134197676","11.4762700664671","13.3684706223285","11.1620684150182","6.70912572046467","8.12803981450062","7.81444511830879","8.9997035609738","8.63119273372616","9.09041582209062","9.86229986649142","6.45482055609604","7.03050863149263","7.38076949933664","7.39716008334015","5.65950187009627","6.51113894604992","7.17068001094867","9.15186756770915","9.88984867103401","10.4772645300531","11.7838319203833","14.9782227333682","11.4543622953942","18.5627768489775","20.1574154351477","2.79670393521736","1.14348399162548","3.68234182312269","1.04814676608188","1.28711580487722","2.95897733024538","2.7792598042765","1.93398846006632","1.44671336775693","1.89433860034525","1.84860221356057","1.87038016963485","2.93830784862203","2.32384015474386","2.2265693285505","1.20472240979458","0.874297044503942","0.662679905611047","0.639888840923441","0.608332209168189","0.551856922961567","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.348310693138279","0.319303338171263","0.231347599768652","0.0803643182427002","","0.0248880039820806","0.069557152793879","0.621260929590428","0.657606313020605","0.789967840107056","0.322023909749116","0.186574415983208","0.215532855176411","0.314935489020797","0.265865103221134","1.44893111638955","0.630189832146977","0.511820506169637","0.379365696567264","0.857688774857666","1.09420117363361","2.2083129531785","2.72418570356336","2.20436771175197","0.271865962862628","0.159356574396085","0.00596462974560854","0.0687801351740208","0.0142191089857285","0.435868816798093","0.0533235304603692","0.299493185642966","1.77449399151152","1.53067317959208","0.379393942606255","0.516568552773643","0.347971398574139","0.182479770668984","0.154210149786396","0.366715655227094","0.576778865587974","0.286198937664876","0.147794987563082","0.130822770435846","0.027737578953332","0.0628236844868063","0.458915464309772","0.434601943492926","1.22037637171099","1.22949867075316","4.47523605527913","2.23686756209727","1.2081471028571","1.71398014413901","1.56084994071862","1.03018281073329","2.76424293814497","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","0.00215838207679523","0.00210473143626873","0.00194348349982509","0.00181120046366732","0.00145131561760736","0.000496016983621519","0.00226218753534668","0.000455998431365396","0.00185274391373624","0.00299105674034636","0.00116270507210709","0.00129368783829937","0.00349374082893032","0.00165322593977629","0.0048006424132393","0.234334024626726","0.786940260032434","0.218454564432913","0.00421102868412372","0.00299349662857442","0.00858577622290142","0.141021067492188","0.466899041280935","0.0920868710785822","0.00132487485082125","0.0799572125913059","0.152375809326241","0.0553967642903229","0.0425888784002484","0.00643061139020344","0.00506246736686752","0.00356665669651403","0.00755449477173895","0.0364267307786972","0.072456360653601","0.265647838431543","0.0288322499883619","0.0149637215706075","0.600163750738442","0.460611121425769","1.04201016843363","0.255933353900495","0.34222144051147","0.0337506423908959","0.121965600057185","0.0303503432884947","0.106101789272853","0.237812392211861","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","0.0024800849181076","0.00113109376767334","0.000911996862730792","0.000463185978434061","0.282654861962731","","0.000258737567659874","0.00510623659612893","0.0155403238338971","0.464789470009078","0.815597888587885","0.106393948199739","0.0395156720646566","0.162826442452784","0.718439190857861","0.270730079533926","0.576984410634241","0.802227874953866","0.0634025277027005","0.253404057407616","0.398837566689659","","0.00226144852599815","0.0147683108856253","0.00560241253491676","0.0337631522968506","0.000303063877144323","0.00885042317203509","0.0319719683193566","0.227664159867826","0.00271152765492981","0.0215715359940576","0.0289259274828255","0.000395853029467376","0.0851578989714228","0.045791262848059","0.0761010832060028","0.000589052778712846","0.225651247175607","0.100682741487443","0.933276942242286","0.329096680907532","0.506062790737276","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","5.92128178335075","4.55732946298984","5.81260844418739","4.60755424591481","3.67901234567901","3.83275261324042","4.70670067238581","4.76300046019328","5.69925471284524","7.49821933478664","8.27580400740865","11.3538306059782","11.7510686082736","10.9284066005834","8.21255319782149","10.055423594616","10.3798922931705","9.72458961722311","10.4642120061018","12.0700413535437","12.8093207621374","14.8782296946471","18.4066869682812","11.6057712450248","11.0954995356626","9.25861697241256","7.71823089081745","11.7136781230041","12.5075772883411","13.9597459735894","14.6427167602585","16.2323137754698","18.7704595629083","22.3418941143236","22.7471581875522","25.9212484151626","31.4109372561384","34.2986025575108","36.1465584157475","32.5756607002476","28.9202858081776","28.1986141649275","25.4704625302657","23.9511507190699","15.6607880448607","23.5957540863077","19.0178653231133","19.5875908136668","24.8614216981015","18.5503494007722","24.8241280011847","22.8117565209855","20.7320170487186","32.6340179019006","28.1307439188284","29.7601562549545","32.8585764708953","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.133286498606988","0.229660945453182","0.0835048164385196","0.00280735245608248","0.00224512247143082","","","","0.000346599533762108","2.17421880509054E-05","0.0520328215393164","0.00102199802611295","0.0101459202555816","0.00475309369765288","0.00666221022738239","0.139751880093414","0.00137483665100367","0.0015324767573176","0.00950954493014663","0.158628375671176","0.0121354288137711","0.0157129979075868","0.0971608028894169","0.0103013643637316","0.0704537403049176","0.184440840339553","0.368832835193288","0.170658112727588","0.080743244168826","0.0447400911708327","0.260126093895412","0.27367665393792","0.248686433161915","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","0.00215838207679523","","","","","","0.0158353127474268","0.0788877286262135","0.0138955793530218","0.0124627364181099","0.0209286912979277","0.0331184086604639","0.000806247883599306","0.0185161305254944","0.01876614761539","0.000962357390664171","0.32058793202036","0.233366138796934","","1.00805998967244","0.53011488937021","0.298420118057773","0.415881874455428","0.321650831245371","0.813924658461377","0.14395159307126","0.00421865034596887","0.00488916471533448","0.0333243710702229","0.0168608635800193","0.18236312852062","0.0977235654144503","0.060106690142221","0.177297230424905","0.360171206285256","0.0855399606715982","0.0468276046324305","0.0871445130790091","0.392789811614729","0.250350104971444","0.934761671898396","0.568464225958834","1.06972377994039","2.77841752099276","0.195162131065879","0.586042402202152","1.3407768985861","2.93648423163865","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","6.26959247648903","4.8766328011611","6.04395604395604","4.68791856415751","3.67901234567901","3.8576406172225","4.77625782517969","5.38426138978371","6.35686102586585","8.29250393904729","8.59993264859404","11.5423485054612","11.9684126639136","11.2447934052218","8.48139440294436","11.523583305056","11.0903378492378","10.2526216326379","11.1416863577902","12.9498215247714","13.9381927698374","17.0959488731342","21.1665823521437","14.2984952168145","12.5515462677375","10.8615566325144","8.29903671229608","11.9523030817712","14.2535341969571","15.2050455355145","15.712465886903","18.216815751803","21.0224403839803","24.9412426268235","23.80133132405","26.5954334256346","31.8316019524997","34.5765169822335","36.3363246632665","33.3033169837525","29.6000327964047","28.5628571874357","25.8734629922819","24.9008935919836","16.0545603793859","23.771522159317","19.7049757524449","21.0258435369061","26.9483709354861","21.986852015045","30.5686955547225","26.6318164690409","25.0587268063038","34.810548609821","31.5013896411753","32.8399910883922","39.5518652567899","",
"Trinidad and Tobago","TTO","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","71.8913270637409","71.9593613933237","74.3782533256217","76.7211358156978","78.1975308641975","78.1483325037332","74.1015534430791","77.5655775425679","78.211310828584","79.5558049685955","78.1823539316383","76.9813814280717","74.6631167137579","77.59313817976","84.809479876591","80.3483768804434","81.0952170324534","80.7476748063883","80.2271209084836","77.9597626531379","76.1995073636712","76.4492305707698","71.8029090163636","78.3207352838489","80.0512936489224","83.4789414973894","85.189824341654","80.8770169072802","76.5945982353337","74.9051057934514","73.8102695830438","69.9993523278137","63.9993368826515","63.6043950777822","57.6358918269725","53.2471511392177","65.3716941122829","64.279999026141","59.9813335136108","65.6485362501656","69.1128513987181","68.478165482319","71.3472772034416","73.1651179479501","82.4987262528572","74.3341392403378","78.4464220339945","77.1037762934591","70.1133212158919","75.6893078302111","67.2047351167271","72.1634611211645","74.0669761491923","64.526771484568","67.8587215179012","66.5516767024396","59.8962778202485","",
"Trinidad and Tobago","TTO","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","286766000","346382000","345157000","373741000","407749000","402791000","428807000","439080000","471650000","473850000","481550000","526576000","557529000","699021000","2036140000","1771090000","2214070000","2179790000","2039630000","2610420000","4077000000","3761000000","3072000000","2353000000","2173000000","2139000000","1386000000","1462000000","1412000000","1578000000","1960000000","1985000000","1691000000","1662000000","1867000000","2455000000","2500000000","2542000000","2258000000","2804000000","4274000000","4280000000","3880000000","5177610000","6517202000","9941665000","14154700000","13396245000","18650425000","9125971000","10981679000","14943900000","12983380000","18744800000","14566100000","10804000000","7632000000","7000000000",
"Trinidad and Tobago","TTO","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","","0.377358490566038","0.0289184499710815","","","","","","","","","","","","","0.0231874222373035","0.000911996862730792","0.00324230184903843","0.281159333592558","0.00116270507210709","0.000258737567659874","0.0276811773369095","0.0162016142098076","0.465662314084212","0.46145036882347","0.107800035620881","0.0395156720646566","0.162826442452784","0.718439190857861","0.456509197707563","0.790800206191232","0.868544033220665","0.0659555508922254","0.26074694104579","0.416968830985531","0.00260046710513834","0.0115355706991885","0.019805382591018","0.0471228318759787","0.0364788720985427","0.00933930667324427","0.010335664937777","0.0716781076270828","0.337921416648055","0.172907912491083","0.0641690463913576","0.037304220330822","0.0162248371328926","0.101495211813092","0.147302425410811","0.211559868831087","0.0493885712037142","0.313497191471697","0.166266513342981","1.79832830080942","0.934836149805354","1.06028487994819","",
"Trinidad and Tobago","TTO","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","0.467844378863472","0.460722714665882","0.692006096448248","0.468750067249874","0.454109326877114","0.457931675242865","0.207289150123426","0.173190728894942","0.121270537398653","0.0852054935279243","0.0368709959882652","0.0732963619251218","0.054559601027927","0.025609370722208","0.183901268064236","0.154533833015019","0.249333933604714","0.325244175436693","0.484360550031095","0.662248496978596","0.645302139112088","0.745790666872255","0.520171993236573","0.0656841207792437","0.0909238927774615","0.117752423032233","0.0929206888592666","0.220940717507349","0.351522715469223","0.400553641863032","0.461324483353572","0.278503868075478","0.146669702167015","0.150702586396065","0.206516781685413","0.190922536202701","0.228435051223478","0.418131303939966","0.318415220778591","2.84379668607406","2.92840828767175","2.47563774138128","0.308860559162016","0.417436214658733","0.375685970496915","0.748126923239543","0.514095284977864","3.46570899457687","","",
