"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Turkmenistan","TKM","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","126.9105845","120.1004439","136.0425882","166.8033831","143.7131543","119.5775799","156.9263971","222.7304494","274.4893335","226.9300804","271.4600707","355.9206154","369.255845","370.4695082","318.4403193","285.5259569","",
"Turkmenistan","TKM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.149261428454","130.729305493486","126.508765819111","91.0172515271913","60.2527992908376","108.745032310308","147.762428341146","140.036056025517","111.385565870911","102.784398619645","105.142305608236","97.3673944687045","94.5357062603928","99.1072044444444","91.0395085910653","58.3742688028328","54.0225598955906","70.4675028506271","75.0763335927678","68.3716308755472","63.1832253071491","53.0731763378231","38.6955340615464","30.6926418607161",
"Turkmenistan","TKM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74000000","127000000","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73000000","125000000","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","33000000","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","2000000","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","13000000","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
