"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Vietnam","VNM","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.22401","","","","","14.20115","","","","","12.71878","","15.90133","","14.40894","","14.55216","","13.82093","","11.53099","","9.812772","","","",
"Vietnam","VNM","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13800000","","","","","10600000","","","","","10100000","","12900000","","12000000","","12400000","","12000000","","10200000","","8903000","","","",
"Vietnam","VNM","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.189781","","","","","2.711332","","","","","2.507942","","3.846175","","3.825781","","4.064596","","2.799379","","2.515907","","","","","",
"Vietnam","VNM","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07386","","","","","2.60378","","","","","2.26915","","2.29117","","1.96042","","1.57563","","0.80512","","0.72242","","","","","",
"Vietnam","VNM","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1499000","","","","","2015000","","","","","1995000","","3132000","","3187000","","3460000","","2434000","","2234000","","","","","",
"Vietnam","VNM","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0952896","","","","","0.080717","","","","","0.0703436","","0.0710262","","0.0607731","","0.0488444","","0.0249588","","0.0223949","","","","","",
"Vietnam","VNM","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.627066","","","","","4.991862","","","","","4.038635","","3.726292","","3.199184","","1.782988","","1.064886","","0.7516263","","","","","",
"Vietnam","VNM","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00653","","","","","1.83659","","","","","1.55052","","1.11325","","0.87504","","0.43775","","0.23715","","0.14275","","","","","",
"Vietnam","VNM","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3167000","","","","","3709000","","","","","3212000","","3035000","","2665000","","1518000","","926000","","668000","","","","","",
"Vietnam","VNM","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.057124","","","","","0.0348953","","","","","0.0294598","","0.0211518","","0.0166258","","0.0083173","","0.0045058","","0.0027122","","","","","",
